Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1960,40,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Yuen Long, Sheung Shui (New Territories)",,,,,,,,,Km2,,,,,1960,5.0,6.0,1960,5.0,6.0,15.0,,7000.0,,7000.0,,,11.42725138,,,,
1961,30,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,Tsuen Wan area (New Territories),,,,,,,,,Km2,,,,,1961,4.0,24.0,1961,4.0,24.0,,,135.0,,135.0,,,11.54960108,,,,
1966,50,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1966,6.0,11.0,1966,6.0,11.0,65.0,68.0,8561.0,2672.0,11301.0,,8000.0,12.5413205,,,,
1969,133,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1969,8.0,11.0,1969,8.0,11.0,,,2000.0,,2000.0,,,14.17378236,,,,
1970,99,,Natural,Hydrological,Flood,Flash flood,,,Hong Kong,HKG,Eastern Asia,Asia,Taipo area,,,,,,,,,Km2,,,,,1970,9.0,16.0,1970,9.0,16.0,,,541.0,368.0,909.0,,,15.00128211,,,,
1970,97,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,Sha Tin area,,,,,,,,,Km2,,,,,1970,5.0,13.0,1970,5.0,13.0,,,529.0,,529.0,,,15.00128211,,,,
1972,100,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,5.0,7.0,1972,5.0,7.0,,,1510.0,6055.0,7565.0,,,16.15721204,,,,
1972,101,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,6.0,16.0,1972,6.0,16.0,138.0,56.0,6751.0,7800.0,14607.0,,,16.15721204,,,,
1975,107,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1975,5.0,,1975,5.0,,,,1912.0,,1912.0,,,20.79379863,,,,
1975,110,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Saikung, Kowloon, Chai Wa",,,,,,,,,Km2,,,,,1975,4.0,30.0,1975,4.0,30.0,3.0,,1194.0,,1194.0,,,20.79379863,,,,
1975,112,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1975,5.0,20.0,1975,5.0,20.0,,,,150.0,150.0,,,20.79379863,,,,
1976,137,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Sam Shing Hui, Tuen Mun (Southwest)",,,,,,,,,Km2,,,,,1976,6.0,,1976,6.0,,,,200.0,,200.0,,,21.98835663,,,,
1977,196,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Lam Tin, Lei U Mun, Sau Mau Ping",,,,,,,,,Km2,,,,,1977,6.0,23.0,1977,6.0,23.0,,,37.0,60.0,97.0,,,23.41797075,,,,
1978,213,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Shatin,Chaiwan, Taipot",,,,,,,,,Km2,,,,,1978,6.0,2.0,1978,6.0,2.0,,,300.0,,300.0,,,25.2049907,,,,
1982,277,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Tsuen Wan, Lantau Isl.",,,,,,,,,Km2,,,,,1982,8.0,,1982,8.0,,1.0,,184.0,,184.0,,,37.28586971,,,,
1983,307,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1983,6.0,17.0,1983,6.0,17.0,1.0,12.0,,600.0,612.0,,,38.4836513,,,,
1985,216,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,Lam Tin In Kwun Tong,,,,,,,,,Km2,,,,,1985,6.0,25.0,1985,6.0,25.0,,,235.0,,235.0,,,41.56182689,,,,
1985,220,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,Aberdeen,,,,,,,,,Km2,,,,,1985,8.0,26.0,1985,8.0,26.0,,,131.0,,131.0,,,41.56182689,,,,
1987,288,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Hong Kong, New Territories",,,,,,,,,Km2,,,,,1987,4.0,5.0,1987,4.0,5.0,,,,,,,,43.90266239,,,,
1987,293,,Natural,Hydrological,Flood,,,,Hong Kong,HKG,Eastern Asia,Asia,"Hong Kong, Kwai Chung",,,,,,,,,Km2,,,,,1987,7.0,22.0,1987,7.0,22.0,,,1000.0,,1000.0,,,43.90266239,,,,
1989,291,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1989,5.0,,1989,5.0,,3.0,1.0,1142.0,714.0,1857.0,,,47.89849737,,,,
1992,196,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,"Tsim Sha Tsui (Mount Davis, Happy Valley)",Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1992,4.0,1.0,1992,5.0,8.0,5.0,6.0,1500.0,122.0,1628.0,,50000.0,54.21584465,,,,
1994,166,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,,Heavy rain,,,,No,No,,,Km2,,,,Shenzhen,1994,7.0,22.0,1994,7.0,24.0,1.0,17.0,4000.0,,4017.0,,37000.0,57.27148263,,,,
1997,144,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,No,No,,,Km2,,,,,1997,5.0,7.0,1997,5.0,9.0,80.0,,,,,,10000.0,62.02075732,,,,
2005,346,,Natural,Hydrological,Flood,Riverine flood,,,Hong Kong,HKG,Eastern Asia,Asia,"Hong Kong city (Administrative unit not available, Administrative unit not available)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2005,6.0,23.0,2005,6.0,24.0,,,,,,,,75.45719958,2,,13116,Administrative unit not available (Adm2). 
